zone,target_market_score,culinary_activity_score,low_competition_score,supporting_area_score,opportunity_score,threat_score,business_potential_score,rank,insight
Depok,100.0,99.08,37.11,100.0,85.98,84.91,78.7,1,"Zona kuat untuk ekspansi, tetapi perlu diferensiasi harga, menu, dan lokasi mikro karena tekanan pasar juga tinggi."
Mlati,71.15,59.11,74.85,68.08,68.88,51.22,65.72,2,"Zona kuat untuk ekspansi, tetapi perlu diferensiasi harga, menu, dan lokasi mikro karena tekanan pasar juga tinggi."
Ngaglik Selatan,51.77,49.38,83.11,30.06,53.41,36.53,49.64,3,"Zona layak dipantau, namun masih butuh validasi lapangan atau eksperimen penjualan ringan sebelum dijadikan prioritas utama."
Gamping,52.39,34.47,38.47,32.28,41.32,59.68,33.36,4,"Zona layak dipantau, namun masih butuh validasi lapangan atau eksperimen penjualan ringan sebelum dijadikan prioritas utama."
